type,properties/Name,properties/description,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Hotel,Relais Christine,CI - 20x pax - Maison CAT C Silver,Point,2.3401138,48.8543896
Hotel,25hours Hotel Paris Terminus Nord,20 pax ORSAY 1,Point,2.3551337,48.879574
Hotel,Waldorf Astoria Versailles - Trianon Palace,8x pax Riverside Maison Grandstand,Point,2.120206,48.810637
Hotel,Renaissance Paris La Defense Hotel,38x pax Right bank place du Chatelet // 2x pax Riverside Maison Grandstand,Point,2.2339448,48.892657
Train,Montparnasse - BienvenÃ¼e,,Point,2.3239801,48.8439798
Train,Gare de Lyon,,Point,2.3743773,48.8443038
Train,Gare du Nord,,Point,2.3553137,48.8809481
Train,Gare de l'Est,,Point,2.3592251,48.8767903
OLY Venue,Stade Tour Eiffel,,Point,2.2971779,48.8566617
OLY Venue,Arena Champ de Mars,,Point,2.3022204,48.8531215
OLY Venue,Invalides,,Point,2.3132068,48.8600958
OLY Venue,Concorde 1,,Point,2.3207382,48.8664118
OLY Venue,Grand Palais Pont Alexandre III,,Point,2.3121768,48.8662922
OLY Venue,Concorde 2,,Point,2.3225623,48.8659817
OLY Venue,Concorde 3,,Point,2.3197299,48.865163
OLY Venue,TrocadÃ©ro,,Point,2.2901668,48.8610346
OLY Venue,Concorde 4,,Point,2.321704,48.8649371
OLY Venue,Hotel de Ville,,Point,2.3515269,48.8566997
OLY Venue,Bercy,,Point,2.3785529,48.8387035
Hotel,Renaissance Paris Nobel Tour Eiffel Hotel,,Point,2.2857141,48.8672555
Hotel,Grand Hôtel du Palais Royal,STK FDJ Full Prg Mgt,Point,2.3379051,48.8631306
Hotel,Hotel du Collectionneur,,Point,2.3068725,48.8770171
Hotel,Hyatt Regency Paris Étoile,,Point,2.2844977,48.8804614
Hotel,Castille Paris,STK PwC Full Pgr Mgt,Point,2.326849,48.8683896
Hotel,"InterContinental Paris - Le Grand, an IHG Hotel",,Point,2.32996,48.87023
Hotel,Maison Delano Paris,,Point,2.3206498,48.869492
Hotel,"The Hoxton, Paris",,Point,2.3465669,48.8702063
Hotel,Novotel Paris Les Halles,,Point,2.3465318,48.8607658
Hotel,"Hôtel de Crillon, A Rosewood Hotel",,Point,2.3210947,48.8672743
Hotel,J.K. Place Paris,Avica 37x - Cat B - Riverside Maison,Point,2.3215397,48.8610705
Hotel,Hotel Fauchon,Bank of America (Octagon) - 22x - Cat A - Gold - Riverside Palais Diner,Point,2.3233745,48.8705595
Hotel,Le Narcisse Blanc Hotel & Spa,Eli Lilly (Optimum) - 46x CAT A - TRA to ALMAÂ  Bridge 360,Point,2.3104337,48.8605538
Hotel,Maison Villeroy,Endeavor - 24 pax TRA to ALMA Bridge 360,Point,2.3047481,48.8653273
Hotel,Norman hôtel - Paris Champs Élysées,Goldman Sachs - 60x CAT A TRA to ALMAÂ  Bridge 360,Point,2.3002975,48.873694
Hotel,Saint James Paris,,Point,2.2796401,48.8706168
Hotel,Park Hyatt Paris-Vendôme,MET - 10x CAT A TRA to ALMA Bridge 360,Point,2.3305496,48.8688209
Hotel,Ritz Paris,Ralph Lauren - 32x pax - TRA to Cat A - Quayside Alma,Point,2.3288932,48.8680987
Hotel,Le Bristol Paris,,Point,2.3147996,48.8716864
Hotel,Le Meurice,,Point,2.3280831,48.8651888
Hotel,The Peninsula Paris,,Point,2.293402,48.8710605
Hotel,Crystal Park,,Point,2.2760262,48.8920076
Hotel,J.K. Place Paris,36x pax Riverside Maison B,Point,2.3215397,48.8610705
Hotel,Le Burgundy Paris,ODDO BHF,Point,2.3258952,48.8679751
Hotel,Hôtel Madame Rêve,,Point,2.342873,48.8645355
PCH,PCH Concorde Rive Droite,,Point,2.3199203,48.8639359
PCH,PCH Concorde Rive Gauche,,Point,2.319218,48.8628625
PSE,PSE Alma Rive Droite,,Point,2.301589,48.8642094
PCH,PCH Alma Rive Gauche,,Point,2.3016367,48.8629889
PCH,PCH The Deck,,Point,2.3058047,48.8629116
PCH,PCH Invalides 3,,Point,2.3098739,48.8630574
PSE,PSE Av Franklin Roosevelt,,Point,2.310303,48.8642832
OVH,HSP Palais,,Point,2.2963745,48.863284
PCH,PCH Iena,,Point,2.2933933,48.8619906
PCH,PCH Invalide 2,,Point,2.3123936,48.8631163
PCH,PCH Le Flow,,Point,2.3148586,48.8631163
PCH,PCH Orsay 1,,Point,2.322236,48.8619986
PCH,PCH Orsay 2,,Point,2.3247633,48.8613248
PCH,PCH Palais,,Point,2.297074,48.8648119
BRIDGE,BANK CROSS BRIDGE - Pont des Invalides,Up to 16h00 on CER1 day,Point,2.3104872,48.86365
BRIDGE,BANK CROSS BRIDGE - Pont de Sully,Up to 16h00 on CER1 Day,Point,2.3587987,48.8499723
Hotel,SO/ PARIS,,Point,2.3624566,48.8500072
Hotel,Hotel Eiffel Blomet,,Point,2.3023301,48.8416424
Hotel,Lux Hôtel Picpus,,Point,2.4022334,48.8457507
Hotel,Hotel Madrigal,,Point,2.3127678,48.8421423
Hotel,New Orient Hotel,,Point,2.3197277,48.8803322
Hotel,Hotel Oceania Paris Porte de Versailles,,Point,2.284224,48.8303841
